序號	目次	聲	shengOrder	等	toenkOrder	呼	xuOrder	韻部	hiunnOrder	調	dewOrder	攝	shapOrder	反切	平水韻目	古韻羅馬字	有女羅馬字	推導拼音	小韻字數	字	備註	validation
105	上平5支	群	D3	三	3	開	1	支A	上05A	平	1	止	5	巨支	支	gje	gie	qi2	25	祇示衹岐歧𨙸馶疧蚑忯䞚翄𢻚軝𩉬芪汥跂䲬蚑䉻𦭲伎𨱜𠁭		TRUE
106	上平5支	曉	E1	三	3	開	1	支B	上05B	平	1	止	5	許羈	支	hie	xye	xi1	18	犧羲焁桸巇羛戲𤃪曦𢹍𧕆䚙䖒㺣𣤴𢨛㚀隵	19->18	TRUE
107	上平5支	溪	D2	三	3	開	1	支B	上05B	平	1	止	5	去奇	支	khie	qye	qi1	11	㩻觭踦㱦崎𦖊碕𤘌㥓䗁攲[崎][榿]		TRUE
108	上平5支	疑	D4	三	3	開	1	支B	上05B	平	1	止	5	魚羈	支	ngie	ngye	yi2	11	宜宐𠣨㝖儀𥪺䣡䴊轙涯崖		TRUE
109	上平5支	並	A3	三	3	開	1	支B	上05B	平	1	止	5	符羈	支	bie	bye	pi2	6	皮疲郫罷㯅犤		TRUE
110	上平5支	常	CD5	三	3	開	1	支A	上05A	平	1	止	5	是支	支	zje	zje	chi2	12	匙!提𦑡㖷䈕堤禔𦳚忯姼眂𣏚		TRUE
111	上平5支	日	CD6	三	3	開	1	支A	上05A	平	1	止	5	汝移	支	nje	re	er2	4	兒𠒆唲婼	婼羌	TRUE
112	上平5支	來	B5	三	3	開	1	支A	上05A	平	1	止	5	呂支	支	lie	lie	li2	37	離籬醨罹璃酈𣀷驪𪖂樆鸝鵹𪅆縭褵蘺䕻麗离䍦㰚蠡䅻孋漓灕𧕯㷰𧕮攡黐矖穲𢟢𢥗謧劙		TRUE
113	上平5支	從	CA3	三	3	開	1	支A	上05A	平	1	止	5	疾移	支	zie	dzie	ci2	8	疵骴玼茈𣐑胔飺鴜		TRUE
114	上平5支	精	CA1	三	3	開	1	支A	上05A	平	1	止	5	即移	支	cie	zie	zi1	16	貲頾(髭頿)訾𪕊鮆訾鄑㠿媊𨚖㰣鈭姕𦺱䖪觜		TRUE
115	上平5支	見	D1	三	3	開	1	支B	上05B	平	1	止	5	居宜	支	kie	kye	ji1	9	羈畸羇掎攲竒(奇)㱦妓躸		TRUE
116	上平5支	幫	A1	三	3	開	1	支A	上05A	平	1	止	5	府移	支	pje	pie	bi1	11	卑鵯椑箄裨鞞𩔹痺渒錍𢃍		TRUE
117	上平5支	並	A3	三	3	開	1	支A	上05A	平	1	止	5	符支	支	bje	bie	pi2	15	陴𩫫焷脾䴽埤裨蜱𧓎螷蠯㯅郫𪌈紕		TRUE
118	上平5支	書	CD4	三	3	開	1	支A	上05A	平	1	止	5	式支	支	sje	sje	shi1	12	𦇲絁施葹䙾鍦鉈鸍𪓿䗐𧠜𢻫		TRUE
119	上平5支	心	CA4	三	3	開	1	支A	上05A	平	1	止	5	息移	支	sie	sie	si1	26	斯虒𩆵榹㴲廝㒋凘磃㾷傂謕鼶𪆁蟴㽄螔䫢䌳䔮菥𥕶蜤燍禠鐁		TRUE
120	上平5支	初	CC2	三	3	開	1	支B	上05B	平	1	止	5	楚宜	支	chrie	chye	chi1	4	差縒嵯𪙉		TRUE
121	上平5支	徹	CB2	三	3	開	1	支B	上05B	平	1	止	5	丑知	支	thrie	thye	chi1	9	摛螭誺魑黐㷰离𡴥彲		TRUE
122	上平5支	明	A4	三	3	開	1	支A	上05A	平	1	止	5	武移	支	mje	mie	mi2	17	彌獼弥𪂕镾䍘𨤐𥉓㣆𥸀擟麊冞㜷䥸𥎖瀰		TRUE
123	上平5支	清	CA2	三	3	開	1	支A	上05A	平	1	止	5	此移	支	chie	cie	ci1	5	雌姕(胔）鈭𦍧		TRUE
124	上平5支	知	CB1	三	3	開	1	支B	上05B	平	1	止	5	陟移	支	trie	tye	zhi1	6	知䵹鼅蜘䣽䝷		TRUE
125	上平5支	影	E3	三	3	開	1	支B	上05B	平	1	止	5	於離	支	qie	ye	yi1	11	漪猗椅旖禕陭欹㾨犄𩕲檹		TRUE
126	上平5支	澄	CB3	三	3	開	1	支B	上05B	平	1	止	5	直離	支	drie	dye	chi2	13	馳趍池簃篪䶵踟褫䪧䶔誃傂䞾	14->13	TRUE
127	上平5支	心	CA4	三	3	合	2	支A	上05A	平	1	止	5	息爲	支	sye	sve	sui1	1	眭		TRUE
128	上平5支	疑	D4	三	3	合	2	支B	上05B	平	1	止	5	魚爲	支	ngye	ngwe	wei2	4	危㕒洈峗		TRUE
129	上平5支	曉	E1	三	3	開	1	支A	上05A	平	1	止	5	香支	支	hje	xie	xi1	2	詑焁		TRUE
130	上平5支	生	CC4	三	3	開	1	支B	上05B	平	1	止	5	所宜	支	srie	shye	shi1	7	釃簁(篩）欐襹𧕯籭褷		TRUE
131	上平5支	生	CC4	三	3	合	2	支B	上05B	平	1	止	5	山垂	支	srye	shwe	shuai1	2	䪎䭨		TRUE
132	上平5支	日	CD6	三	3	合	2	支A	上05A	平	1	止	5	人垂	支	njye	rve	rui2	2	痿䬐		TRUE
133	上平5支	精	CA1	三	3	開	1	支A	上05A	平	1	止	5	姊移	支	cie	zie	zi1	6	厜觜惢纗嫢㭰		TRUE
