hkv 釁
hkx 興
hla 吁
hla 盱
hla 雩
hlf 薰
hlf 勳
hlf 燻
hlf 醺
hlf 葷
hlf 熏
hlh 揮
hlh 輝
hlh 暉
hlh 徽
hlh 煇
hlh 鰴
hlk 蓄
hlk 畜
hlk 搐
hln 諱
hln 卉
hlq 栩
hlq 詡
hlq 煦
hlv 訓
hly 虫
hlz 酗
hma 休
hma 咻
hma 庥
hma 貅
hmk 旭
hmk 頊
hmq 朽
hms 胸
hms 兇
hms 洶
hms 凶
hms 匈
hmz 嗅
hmz 溴
hnh 睢
hnn 睢
hok 黑
hyq 虎
hyq 唬
hyq 滸
hyq 琥
hor 很
hor 狠
hos 哼
hpf 婚
hpf 昏
hpf 閽
hps 薨
hpt 忽
hpt 惚
hpt 笏
hrt 血
hrv 絃
hrv 絢
hsb 噦
hsb 渙
hsf 歡
hsf 獾
hsh 灰
hsh 歪
hsk 霍
hsk 攉
hsk 藿
hsn 誨
hsn 晦
hsq 火
hsq 伙
hss 荒
hss 慌
hss 肓
hst 豁
hsv 喚
hsv 煥
hsv 奐
hsv 渙
hsw 謊
hsw 慌
hsy 悔
hsy 賄
hsz 貨
hua 齁
huk 熇
huq 吼
huq 吽
hus 烘
huz 蔻
hva 麾
hvq 毀
hvq 燬
hvq 譭
hvs 兄
hwd 蘞
hwd 忺
hwf 軒
hwf 掀
hwk 謔
hwp 脅
hws 香
hws 鄉
hws 薌
hwt 歇
hwt 蠍
hwv 獻
hwv 憲
hww 響
hww 享
hww 嚮
hww 饗
hwx 向
hxa 花
hxa 嘩
hxa 譁
hxz 化
hya 呼
hya 滹
hyk 熇
hop 喝
hyz 鍙
hza 蝦
hza 煆
hzk 嚇
hzk 赫
hzk 氦
hzm 孝
hzm 哮
hzp 呷
hzs 亨
hzt 瞎
hzw 擤
hzz 嚇
hzz 罅
hzz 煆
ica 垂
ica 陲
icr 踹
icz 睡
icz 瑞
iha 蜍
ihq 墅
ihq 糬
ihz 薯
ihz 曙
iia 時
iia 蒔
iid 忱
iid 諶
iie 甚
iif 晨
iif 臣
iif 辰
iif 宸
iik 植
iik 殖
iik 湜
iin 視
iin 嗜
iip 十
iip 什
iip 拾
iip 褶
iiq 市
iiq 恃
iiq 柿
iiq 鈰
iir 腎
iis 承
iis 丞
iit 膣
iiv 慎
iiv 蜃
iiz 侍
iiz 蒔
ina 酬
ina 仇
ina 讎
inf 純
inf 醇
inf 淳
inf 蓴
inf 鶉
inh 誰
ink 屬
ink 蜀
ink 鐲
inq 受
inq 壽
inq 綬
ins 慵
inz 售
inz 授
inz 壽
inz 綬
ipa 殊
ipa 茱
ipa 銖
ipa 洙
ipk 熟
ipk 淑
ipk 塾
ipk 孰
ipq 樹
ipq 豎
ipz 署
iqa 佘
iqk 勺
iqk 芍
iqk 杓
iqk 妁
iqp 閘
iqq 社
iqs 常
iqs 嘗
iqs 償
iqs 嚐
iqs 裳
iqs 嫦
iqs 徜
iqw 上
iqx 尚
ita 匙
itb 逝
itb 誓
itb 噬
itc 贍
itd 蟾
itf 禪
itf 蟬
itf 澶
itf 嬋
itf 撣
itj 韶
itk 石
